days,accommodation_cost,food_cost,transport_cost,activities_cost,total_cost
13,344,355,116,632,1447
6,251,119,73,518,961
1,775,219,41,287,1322
4,610,213,337,246,1406
12,982,498,110,191,1781
4,1307,145,62,429,1943
8,128,247,212,209,796
10,902,144,158,296,1500
4,228,306,305,461,1300
6,228,419,204,104,955
3,1177,228,584,147,2136
5,856,342,401,314,1913
8,373,468,214,371,1426
7,435,354,474,635,1898
9,488,399,518,112,1517
9,1166,437,316,91,2010
13,643,148,310,696,1797
11,988,92,545,292,1917
2,357,418,124,218,1117
7,1445,455,256,501,2657
8,157,251,299,568,1275
8,391,433,326,619,1769
9,1243,50,358,297,1948
2,879,444,49,387,1759
6,530,420,440,254,1644
10,1206,93,480,228,2007
14,191,492,278,621,1582
9,498,433,210,659,1800
10,711,73,353,627,1764
5,1008,237,290,473,2008
4,733,180,169,153,1235
1,184,427,491,377,1479
4,303,148,558,474,1483
6,424,112,182,619,1337
1,874,469,179,509,2031
3,1064,272,140,279,1755
4,1171,173,55,503,1902
9,739,132,494,141,1506
2,1255,480,147,421,2303
4,1072,277,475,124,1948
14,968,198,258,168,1592
4,1304,259,537,113,2213
4,1267,100,151,312,1830
8,1351,461,356,116,2284
1,1054,320,499,539,2412
2,891,91,317,370,1669
10,819,108,555,277,1759
10,1009,243,182,334,1768
1,473,86,71,160,790
11,660,316,304,526,1806
